video_id,total_views,total_comments,total_likes,total_shares,total_watch_time_min,total_subscribers_gained,total_subscribers_lost,avg_watch_duration_per_view,avg_view_percentage,total_engagement,engagement_rate,like_rate,comment_rate,share_rate,net_subscribers,days_active,date_first_published,date_last_recorded
LVLgA4Ec0Bc,50133,56,851,392,1368577,107,0,26.087708965382674,27.677077690662866,1299,1.8091875610875072,1.6974846907226777,0.11170287036482957,0.7819200925538068,107,1403,2020-12-31,2024-11-10
M-rRbrifnu4,36306,32,571,197,1062795,102,3,24.920183453307953,31.36900940438872,800,1.6608824987605353,1.572742797333774,0.08813970142676142,0.5426100369085,99,1595,2020-05-04,2024-11-08
M0W0gm8bkb8,35860,33,621,219,808316,85,10,21.327026533776326,32.6170110701107,873,1.8237590630228666,1.731734523145566,0.09202453987730061,0.6107083100948132,75,1084,2021-11-11,2024-11-10
M50ko2wbxyg,995,5,47,10,2237,3,0,2.1548821664291444,43.87072727272727,62,5.226130653266332,4.723618090452261,0.5025125628140703,1.0050251256281406,3,110,2024-04-23,2024-11-09
ME8nNEJPLQI,384654,89,2589,586,19453642,304,10,50.09195303411757,27.143424980361353,3264,0.6962101005059093,0.6730724235286778,0.023137676977231486,0.152344704591659,294,1273,2021-05-18,2024-11-10
MRtboGgE844,50606,33,637,207,1896725,98,2,34.16490060907305,34.54501965923984,877,1.3239536813816544,1.258744022447931,0.06520965893372328,0.4090424060388096,96,1526,2020-07-20,2024-11-10
Mb-oVVctwyc,535005,403,5593,1963,27833287,935,35,52.64533387233588,13.394005021971122,7959,1.120737189372062,1.0454107905533594,0.07532639881870262,0.36691245876206763,900,1593,2020-07-02,2024-11-10
MeF0nBWd8Xc,87763,72,1396,491,3260555,242,6,32.426281223557126,22.67880418535127,1959,1.6726866675022503,1.590647539395873,0.0820391281063774,0.5594612763921014,236,669,2023-01-11,2024-11-10
MquUqDFXJq4,37216,37,505,122,1141955,46,5,28.393142707160237,30.15789121338912,664,1.4563628546861564,1.3569432502149612,0.09941960447119519,0.32781599312123816,41,1195,2021-06-18,2024-11-10
N29b5jE-gvw,82294,66,1079,290,4077868,90,3,45.299960821071956,29.47967159277504,1435,1.391352954042822,1.3111526964298732,0.0802002576129487,0.35239507132962306,87,1218,2021-05-31,2024-11-10
